Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1739,1592,999,50904.425781,0.019625
2,1000,0.1,0.2,50.0,1000,1758,1597,999,48318.808594,0.020675
3,1000,0.1,0.2,50.0,1000,1858,1677,999,50502.378906,0.019781
4,1000,0.1,0.2,50.0,1000,1734,1548,999,51006.425781,0.019586
5,1000,0.1,0.2,50.0,1000,1693,1506,999,50847.839844,0.019647
6,1000,0.1,0.2,50.0,1000,1744,1574,999,49852.390625,0.020039
7,1000,0.1,0.2,50.0,1000,1795,1594,999,50163.000000,0.019915
8,1000,0.1,0.2,50.0,1000,1736,1572,999,52293.855469,0.019104
9,1000,0.1,0.2,50.0,1000,1815,1635,999,50289.289062,0.019865
10,1000,0.1,0.2,50.0,1000,1666,1504,999,48696.101562,0.020515
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,2118,1693,999,50194.824219,0.019902
2,1000,0.2,0.2,50.0,1000,2072,1633,999,50142.386719,0.019923
3,1000,0.2,0.2,50.0,1000,2174,1743,999,50100.519531,0.019940
4,1000,0.2,0.2,50.0,1000,2152,1714,999,49084.042969,0.020353
5,1000,0.2,0.2,50.0,1000,2016,1641,999,49670.238281,0.020113
6,1000,0.2,0.2,50.0,1000,2069,1664,998,50311.816406,0.019836
7,1000,0.2,0.2,50.0,1000,2087,1606,999,50113.660156,0.019935
8,1000,0.2,0.2,50.0,1000,2019,1626,998,50389.792969,0.019806
9,1000,0.2,0.2,50.0,1000,2206,1775,998,48760.105469,0.020468
10,1000,0.2,0.2,50.0,1000,2159,1708,999,49046.847656,0.020368
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.4,0.2,50.0,1000,3169,1896,868,50712.304688,0.017116
2,1000,0.4,0.2,50.0,1000,3054,1829,843,48567.796875,0.017357
3,1000,0.4,0.2,50.0,1000,3148,1879,854,50397.968750,0.016945
4,1000,0.4,0.2,50.0,1000,3106,1915,917,49117.140625,0.018670
5,1000,0.4,0.2,50.0,1000,3100,1875,869,48960.421875,0.017749
6,1000,0.4,0.2,50.0,1000,3251,1941,892,51480.902344,0.017327
7,1000,0.4,0.2,50.0,1000,3094,1870,854,49518.136719,0.017246
8,1000,0.4,0.2,50.0,1000,3124,1879,855,50304.425781,0.016997
9,1000,0.4,0.2,50.0,1000,3088,1818,825,49277.699219,0.016742
10,1000,0.4,0.2,50.0,1000,3172,1892,864,50324.425781,0.017169
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,2823,1137,349,51084.699219,0.006832
2,1000,0.6,0.2,50.0,1000,2747,1097,355,49876.832031,0.007118
3,1000,0.6,0.2,50.0,1000,2733,1079,335,49993.585938,0.006701
4,1000,0.6,0.2,50.0,1000,2789,1144,381,50433.406250,0.007555
5,1000,0.6,0.2,50.0,1000,2767,1133,360,49985.464844,0.007202
6,1000,0.6,0.2,50.0,1000,2823,1111,358,51513.175781,0.006950
7,1000,0.6,0.2,50.0,1000,2800,1124,348,50954.816406,0.006830
8,1000,0.6,0.2,50.0,1000,2685,1078,337,48952.593750,0.006884
9,1000,0.6,0.2,50.0,1000,2693,1016,315,49204.210938,0.006402
10,1000,0.6,0.2,50.0,1000,2727,1102,341,49708.562500,0.006860
